
band    count
LOW	21571
HIGH	79212
MID	41686
ZERO	93280

file		count	IMG_to_CSS_ratio
138697.txt	1	0.76
mw57835.txt	1	0.00
mw46591.txt	1	0.00
mw77601.txt	1	0.00
mw53710.txt	1	0.00
519451.txt	1	29.25
8109187.txt	1	0.00
8003150.txt	1	0.00
8116306.txt	1	0.00
mw62913.txt	1	0.00
508888.txt	1	1.00
163541.txt	1	2.50
8105062.txt	1	0.00
545214.txt	1	1.60
38084.txt	1	10.06
8114265.txt	1	0.00
452505.txt	1	2.94
8110140.txt	1	0.00
30515.txt	1	5.95
441261.txt	1	3.67
8062007.txt	1	0.00
mw142957.txt	1	0.00
710459.txt	1	0.08
832137.txt	1	2.83
oph05174.txt	1	1.00
mw10515.txt	1	0.00
459876.txt	1	1.60
7972573.txt	1	1.50
7996464.txt	1	6.33
115268.txt	1	102.20
489083.txt	1	0.49
759403.txt	1	1.92
37886.txt	1	6.82
718952.txt	1	1.40
568907.txt	1	6.00
33761.txt	1	2.75
57652.txt	1	27.00
8065253.txt	1	0.50
8031921.txt	1	0.00
8133833.txt	1	0.00
498286.txt	1	0.70
400107.txt	1	2.00
566866.txt	1	1.25
76296.txt	1	31.00
66855.txt	1	82.50
846627.txt	1	4.57
42964.txt	1	6.58
mw31j0272.txt	1	0.00
835383.txt	1	0.62
842502.txt	1	2.33
8074456.txt	1	0.00
72171.txt	1	21.50
596073.txt	1	0.72
681213.txt	1	9.60
116430.txt	1	30.00
8070331.txt	1	0.00
592629.txt	1	0.95
831939.txt	1	0.67
742674.txt	1	0.50
81374.txt	1	7.75
105867.txt	1	8.20
581385.txt	1	1.47
149524.txt	1	0.68
683297.txt	1	0.64
125633.txt	1	21.00
mw78103.txt	1	0.00
7822388.txt	1	0.00
oph04976.txt	1	0.00
oph00851.txt	1	0.00
3301.txt	1	3.68
168168.txt	1	4.44
130711.txt	1	1.69
505265.txt	1	2.64
mw134256.txt	1	0.00
688584.txt	1	50.67
173246.txt	1	6.00
mw154022.txt	1	0.00
412556.txt	1	22.50
776930.txt	1	4.50
mw143459.txt	1	0.00
854951.txt	1	3.63
591750.txt	1	2.43
8100079.txt	1	0.50
237910.txt	1	52.00
mw77905.txt	1	0.00
8008701.txt	1	0.00
8023220.txt	1	0.00
8119816.txt	1	16.00
8105366.txt	1	0.00
7973075.txt	1	0.00
8125132.txt	1	0.00
456253.txt	1	3.50
569409.txt	1	4.33
8012657.txt	1	0.00
534274.txt	1	0.69
602854.txt	1	4.50
8134335.txt	1	0.00
738098.txt	1	3.88
mw5589.txt	1	0.00
567368.txt	1	16.00
806678.txt	1	1.00
8041626.txt	1	0.00
382188.txt	1	1.29
63232.txt	1	13.33
713969.txt	1	19.50
661030.txt	1	178.00
mw18388.txt	1	0.00
mw1jan1525.txt	1	1.00
122010.txt	1	4.75
oph05478.txt	1	1.00
8039794.txt	1	0.00
oph01353.txt	1	0.00
mw10819.txt	1	0.00
8059560.txt	1	0.00
629991.txt	1	10.33
mw40026.txt	1	0.00
8044872.txt	1	0.00
846250.txt	1	6.88
596377.txt	1	0.89
753541.txt	1	1.27
688848.txt	1	11.67
92241.txt	1	3.56
119940.txt	1	2.62
8090401.txt	1	6.33
684723.txt	1	9.00
766869.txt	1	1.62
179035.txt	1	23.00
138584.txt	1	10.50
860531.txt	1	6.44
mw67163.txt	1	0.00
mw108797.txt	1	0.00
mw52475.txt	1	0.00
mw76366.txt	1	0.00
123896.txt	1	0.22
618044.txt	1	1.58
mw72241.txt	1	0.00
143662.txt	1	0.00
501444.txt	1	3.50
545101.txt	1	0.89
mw133641.txt	1	0.00
mw143082.txt	1	0.00
510647.txt	1	13.00
710346.txt	1	14.00
oph07102.txt	1	0.00
539825.txt	1	43.50
504690.txt	1	1.21
28570.txt	1	14.67
569032.txt	1	0.00
8012280.txt	1	0.00
102508.txt	1	9.00
8114192.txt	1	0.00
435872.txt	1	0.85
8104751.txt	1	0.00
387739.txt	1	4.92
oph01617.txt	1	2.00
578235.txt	1	14.00
8049499.txt	1	0.00
oph11058.txt	1	2.00
8134639.txt	1	0.00
622924.txt	1	1.00
574110.txt	1	4.08
8123395.txt	1	0.00
485526.txt	1	4.54
474282.txt	1	3.78
587438.txt	1	11.50
7648508.txt	1	1.00
802857.txt	1	10.00
8095028.txt	1	0.00
822623.txt	1	0.89
8071137.txt	1	1.00
661334.txt	1	14.25
8132598.txt	1	0.00
620883.txt	1	142.00
mw25130.txt	1	0.00
490604.txt	1	2.86
681100.txt	1	31.00
mw38458.txt	1	0.00
831826.txt	1	3.33
146205.txt	1	3.90
mw10442.txt	1	0.00
111070.txt	1	27.00
418609.txt	1	9.50
120273.txt	1	5.37
597803.txt	1	2.14
8064942.txt	1	0.00
8074383.txt	1	0.00
75985.txt	1	6.50
7949240.txt	1	0.00
